Unnamed: 0,Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Código de Municipio,Nombre de Municipio,Población,Número de mesas,Total censo electoral,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,PSOE,PP,Cs                                                ,PODEMOS-IU-EQUO                                   ,VOX                                               ,ERC-SOBIRANISTES                                  ,ECP-GUANYEM EL CANVI                              ,JxCAT-JUNTS                                       ,EAJ-PNV                                           ,EH Bildu                                          ,PODEMOS-EU-MAREAS EN COMÚN-EQUO                   ,CCa-PNC                                           ,NA+                                               ,COMPROMÍS 2019                                    ,PRC                                               ,PACMA                                             ,FRONT REPUBLICÀ                                   ,BNG                                               ,RECORTES CERO-GV                                  ,NCa                                               ,PACT                                              ,ARA-MES-ESQUERRA                                  ,GBAI                                              ,PUM+J                                             ,EN MAREA                                          ,PCTE                                              ,EL PI                                             ,AxSI                                              ,PCOE                                              ,PCPE                                              ,AVANT ADELANTE LOS VERDES                         ,EB                                                ,CpM                                               ,SOMOS REGIÓN                                      ,PCPA                                              ,PH                                                ,UIG-SOM-CUIDES                                    ,ERPV                                              ,IZQP                                              ,PCPC                                              ,AHORA CANARIAS                                    ,CxG                                               ,PPSO                                              ,CNV                                               ,PREPAL                                            ,C.Ex-C.R.Ex-P.R.Ex                                ,PR+                                               ,P-LIB                                             ,CILU-LINARES                                      ,ANDECHA ASTUR                                     ,"""JF""                                              ",PYLN                                              ,FIA                                               ,FE de las JONS                                    ,F8                                                ,SOLIDARIA                                         ,DPL                                               ,UNIÓN REGIONALISTA                                ,centrados                                         ,VOU                                               ,DP                                                ,PDSJE-UDEC                                        ,IZAR                                              ,RISA                                              ,C 21                                              ,+MAS+                                             ,UDT                                               ,COD_POSTAL,%PSOE,%PP,size
6666,Comunidad de Madrid           ,28,Madrid                        ,001,La Acebeda,65,1,80,64,64,64,0,0,11,19,11,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28001,0.171875,,<5K
6667,Comunidad de Madrid           ,28,Madrid                        ,002,Ajalvir,4559,4,3281,2481,2455,2431,24,26,572,429,533,286,551,0,0,0,0,0,0,0,0,0,0,39,0,0,2,0,10,0,0,4,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28002,0.23529411764705882,,<5K
6668,Comunidad de Madrid           ,28,Madrid                        ,003,Alameda del Valle,195,1,170,148,148,147,1,0,45,28,26,24,21,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28003,0.30612244897959184,,<5K
6669,Comunidad de Madrid           ,28,Madrid                        ,004,El Álamo,9353,10,6564,4798,4767,4741,26,31,1230,857,913,665,995,0,0,0,0,0,0,0,0,0,0,52,0,0,4,0,13,0,0,7,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28004,0.25943893693313647,,<5K
6670,Comunidad de Madrid           ,28,Madrid                        ,005,Alcalá de Henares,193751,222,136049,108267,107316,106544,772,951,32505,16988,23526,16164,14486,0,0,0,0,0,0,0,0,0,0,1617,0,0,255,0,622,0,0,143,0,69,0,0,0,60,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28005,0.3050852230064574,,>5K
6671,Comunidad de Madrid           ,28,Madrid                        ,006,Alcobendas,116037,124,80622,64905,64483,64083,400,422,17223,13023,14632,8310,9339,0,0,0,0,0,0,0,0,0,0,883,0,0,136,0,323,0,0,83,0,47,0,0,0,24,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28006,0.2687608258040354,,>5K
6672,Comunidad de Madrid           ,28,Madrid                        ,007,Alcorcón,169502,216,126831,103108,102202,101492,710,906,31209,17728,20569,17675,11780,0,0,0,0,0,0,0,0,0,0,1401,0,0,243,0,550,0,0,135,0,62,0,0,0,64,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28007,0.3075020691286013,,>5K
6673,Comunidad de Madrid           ,28,Madrid                        ,008,Aldea del Fresno,2698,3,1961,1477,1456,1450,6,21,367,269,269,229,280,0,0,0,0,0,0,0,0,0,0,25,0,0,5,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28008,0.25310344827586206,,<5K
6674,Comunidad de Madrid           ,28,Madrid                        ,009,Algete,20473,22,14499,11656,11564,11502,62,92,2751,2028,2905,1435,2065,0,0,0,0,0,0,0,0,0,0,207,0,0,16,0,40,0,0,13,0,13,0,0,0,17,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28009,0.23917579551382367,,>5K
6675,Comunidad de Madrid           ,28,Madrid                        ,010,Alpedrete,14364,18,10538,8708,8635,8581,54,73,1816,1591,2066,1351,1524,0,0,0,0,0,0,0,0,0,0,127,0,0,16,0,51,0,0,21,0,5,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28010,0.2116303461135066,,>5K
