Código de Provincia,Nombre de Provincia,PSOE,PP,Votos a candidaturas,%PSOE,%PP
01,Araba / Álava,39599,24307,175733,22.53,13.83
02,Albacete,74768,51740,232074,32.22,22.29
03,Alicante / Alacant,258596,178740,908630,28.46,19.67
04,Almería,98365,73712,324309,30.33,22.73
05,Ávila,26318,31904,100881,26.09,31.63
06,Badajoz,156876,83180,404139,38.82,20.58
07,Illes Balears,136399,87173,512754,26.60,17.00
08,Barcelona,766816,155378,3089979,24.82,5.03
09,Burgos,63955,53726,216166,29.59,24.85
10,Cáceres,92679,57069,246055,37.67,23.19
11,Cádiz,209653,99173,657430,31.89,15.08
12,Castellón / Castelló,92075,63672,310195,29.68,20.53
13,Ciudad Real,100524,69504,290881,34.56,23.89
14,Córdoba,162568,89045,467567,34.77,19.04
15,A Coruña,211611,171805,665691,31.79,25.81
16,Cuenca,42580,31971,118308,35.99,27.02
17,Girona,65163,12319,378765,17.20,3.25
18,Granada,176648,96270,517553,34.13,18.60
19,Guadalajara,42397,28575,141331,30.00,20.22
20,Gipuzkoa,77125,20613,407107,18.94,5.06
21,Huelva,97628,44871,261234,37.37,17.18
22,Huesca,41073,25081,123335,33.30,20.34
23,Jaén,152680,75775,383565,39.81,19.76
24,León,94834,68138,286645,33.08,23.77
25,Lleida,37415,11103,222800,16.79,4.98
26,La Rioja,57060,47747,178541,31.96,26.74
27,Lugo,65978,66717,196190,33.63,34.01
28,Madrid,1024711,700811,3731602,27.46,18.78
29,Málaga,250965,144121,806447,31.12,17.87
30,Murcia,189979,179889,762443,24.92,23.59
31,Navarra,94174,0,361699,26.04,0.00
32,Ourense,62663,66127,188172,33.30,35.14
33,Asturias,205917,111341,614846,33.49,18.11
34,Palencia,33058,31229,104545,31.62,29.87
35,Las Palmas,154064,88197,539708,28.55,16.34
36,Pontevedra,184664,142910,566481,32.60,25.23
37,Salamanca,58764,59831,207207,28.36,28.87
38,Santa Cruz de Tenerife,140867,76303,511747,27.53,14.91
39,Cantabria,90010,77535,354992,25.36,21.84
40,Segovia,25979,24805,91409,28.42,27.14
41,Sevilla,415699,162544,1108057,37.52,14.67
42,Soria,16463,13833,51252,32.12,26.99
43,Tarragona,89344,21284,414377,21.56,5.14
44,Teruel,25500,18521,76985,33.12,24.06
45,Toledo,123267,87001,393505,31.33,22.11
46,Valencia / València,393432,255377,1442568,27.27,17.70
47,Valladolid,96808,78218,332264,29.14,23.54
48,Bizkaia,136041,49604,680191,20.00,7.29
49,Zamora,34357,32513,108767,31.59,29.89
50,Zaragoza,172806,99204,547136,31.58,18.13
51,Ceuta,13766,8123,37562,36.65,21.63
52,Melilla,6986,8085,33512,20.85,24.13
