Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28001 Acebeda, La;;;Renta neta media por persona ;2020;13.999
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Renta neta media por persona ;2020;13.999
28001 Acebeda, La;2800101 Acebeda, La distrito 01;2800101001 Acebeda, La sección 01001;Renta neta media por persona ;2020;13.999
28002 Ajalvir;;;Renta neta media por persona ;2020;14.079
28002 Ajalvir;2800201 Ajalvir distrito 01;;Renta neta media por persona ;2020;14.079
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Renta neta media por persona ;2020;15.006
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Renta neta media por persona ;2020;13.323
28003 Alameda del Valle;;;Renta neta media por persona ;2020;16.728
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Renta neta media por persona ;2020;16.728
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Renta neta media por persona ;2020;16.728
28004 Álamo, El;;;Renta neta media por persona ;2020;10.608
28004 Álamo, El;2800401 Álamo, El distrito 01;;Renta neta media por persona ;2020;10.608
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401001 Álamo, El sección 01001;Renta neta media por persona ;2020;10.011
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401002 Álamo, El sección 01002;Renta neta media por persona ;2020;11.285
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401003 Álamo, El sección 01003;Renta neta media por persona ;2020;9.838
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401004 Álamo, El sección 01004;Renta neta media por persona ;2020;11.275
28005 Alcalá de Henares;;;Renta neta media por persona ;2020;13.243
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;;Renta neta media por persona ;2020;14.052
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501001 Alcalá de Henares sección 01001;Renta neta media por persona ;2020;15.670
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501002 Alcalá de Henares sección 01002;Renta neta media por persona ;2020;14.142
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501003 Alcalá de Henares sección 01003;Renta neta media por persona ;2020;14.696
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501004 Alcalá de Henares sección 01004;Renta neta media por persona ;2020;15.009
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501005 Alcalá de Henares sección 01005;Renta neta media por persona ;2020;17.027
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501006 Alcalá de Henares sección 01006;Renta neta media por persona ;2020;14.749
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501007 Alcalá de Henares sección 01007;Renta neta media por persona ;2020;11.653
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501008 Alcalá de Henares sección 01008;Renta neta media por persona ;2020;10.985
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501009 Alcalá de Henares sección 01009;Renta neta media por persona ;2020;11.443
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501010 Alcalá de Henares sección 01010;Renta neta media por persona ;2020;13.170
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501011 Alcalá de Henares sección 01011;Renta neta media por persona ;2020;12.474
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501012 Alcalá de Henares sección 01012;Renta neta media por persona ;2020;13.614
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501013 Alcalá de Henares sección 01013;Renta neta media por persona ;2020;16.929
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501014 Alcalá de Henares sección 01014;Renta neta media por persona ;2020;16.997
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501015 Alcalá de Henares sección 01015;Renta neta media por persona ;2020;14.368
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501016 Alcalá de Henares sección 01016;Renta neta media por persona ;2020;12.627
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501017 Alcalá de Henares sección 01017;Renta neta media por persona ;2020;11.056
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501018 Alcalá de Henares sección 01018;Renta neta media por persona ;2020;10.187
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501020 Alcalá de Henares sección 01020;Renta neta media por persona ;2020;10.562
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501021 Alcalá de Henares sección 01021;Renta neta media por persona ;2020;16.225
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501022 Alcalá de Henares sección 01022;Renta neta media por persona ;2020;13.219
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501023 Alcalá de Henares sección 01023;Renta neta media por persona ;2020;17.023
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501024 Alcalá de Henares sección 01024;Renta neta media por persona ;2020;18.349
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;;Renta neta media por persona ;2020;10.918
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502001 Alcalá de Henares sección 02001;Renta neta media por persona ;2020;10.617
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502002 Alcalá de Henares sección 02002;Renta neta media por persona ;2020;11.267
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502003 Alcalá de Henares sección 02003;Renta neta media por persona ;2020;11.266
